"","Site_number","Time","Habitat","Lat","Lon","Coral_sampler","Date","Time.1","CCAR","CSPI","JUVPAR","SALT","SFRE","SOVI","SPSI","CSPI_JUV","CSPI_SUB","CSPI_ADULT","SPSI_JUV","SPSI_SUB","SPSI_ADULT","PARROT_JUV","PARROT_SUB","PARROT_ADULT","PREDATOR","FISH_TOT","Weight_ug","Percent_C","Percent_H","Percent_N","C_to_N_ratio"
"25","163",10,"FR",-17.47785,-149.78665,"TCA",44339,0.498611111,0,1.7,0.1,0,0,0.4,2.9,0.5,0.8,0.4,1.3,0.7,0.9,1.8,1.5,1.8,0.1,5.5,2431,27.99,3.54,0.68,41.05
"26","164",10,"FR",-17.47881,-149.79099,"TCA",44339,0.615972222,0,4.1,0,0,0,0.4,0.4,1.8,1.8,0.5,0.3,0.1,0,2.1,1.9,2.1,0.1,5.2,2298,28.96,3.78,0.56,51.86
"27","165",8,"FR",-17.47961,-149.79613,"TCA",44339,0.677083333,0,2,0.625,0,0,0.125,1.875,1,1,0,1.5,0.375,0,2.5,1.375,2.5,0.125,5,2940,27.85,3.59,0.73,38.28
"28","166",10,"LAG",-17.47499,-149.78672,"TCA",44339,0.480555556,0,1.1,0,0,0,0.3,2.2,0.4,0.3,0.4,0.7,1,0.5,1.1,1.3,1.1,0,4,2898,28.72,3.7,0.48,60.45
"29","167",10,"BA",-17.47283,-149.78103,"TCA",44339,0.4625,0,2.4,0,0,0,0,1.5,0,0.4,2,0,0.4,1.1,0,0.8,0,0.1,4.2,2555,28.6,3.66,0.56,51.08
"30","168",10,"BA",-17.47187,-149.78655,"TCA",44339,0.521527778,0,3.7,0,0,0,0,2.8,0,0.9,2.8,0.3,1.4,1.1,0.3,2.3,0.3,0.1,6.8,2349,28.96,3.53,0.6,48.46
"31","169",10,"BA",-17.47434,-149.79374,"TCA",44339,0.6375,0,2.6,0,0,0,0.1,1.7,0.2,0.6,1.8,0,0.4,1.3,0.2,1,0.2,0.2,4.8,2286,28.54,3.62,0.58,49.29
"32","170",9,"LAG",-17.47682,-149.79501,"TCA",44339,0.659722222,0,3.444444444,0,0,0,0,0.444444444,0.333333333,1.888888889,1.222222222,0,0,0.444444444,0.333333333,1.888888889,0.333333333,0.111111111,4.666666667,2366,27.85,3.6,0.72,38.81
"33","171",9,"LAG",-17.47497,-149.79012,"TCA",44339,0.597222222,0,2.777777778,0.222222222,0.111111111,0,0,1.111111111,0.444444444,0.777777778,1.555555556,0.222222222,0.333333333,0.555555556,0.666666667,1.111111111,0.666666667,0.111111111,4.666666667,2170,27.72,3.54,0.7,39.82
"34","172",10,"FR",-17.48044,-149.79966,"TCA",44341,0.440972222,0.3,0.9,0,0,0,0,0.6,0.1,0.6,0.2,0,0.6,0,0.1,1.2,0.1,0.1,2.7,2171,27.53,3.51,0.68,40.28
"35","173",10,"BA",-17.47605,-149.79737,"TCA",44341,0.427083333,0,1.9,0,0,0,0,2.3,0,0.2,1.7,0,0.1,2.2,0,0.3,0,0.2,4.7,2770,28.06,3.58,0.72,39.02
"36","175",10,"FR",-17.48082,-149.80484,"TCA",44341,0.474305556,0,0.9,0,0,0,0.1,1.3,0.3,0.6,0,1,0.1,0.2,1.3,0.7,1.3,0.1,2.9,2190,28.34,3.56,0.69,41.08
"37","176",10,"FR",-17.48256,-149.81385,"TCA",44341,0.659722222,0,1.8,0,0,0,0.3,0.8,0.9,0.7,0.2,0.6,0.1,0.1,1.5,0.8,1.5,0,3.3,2638,27.08,3.38,0.67,40.48
"38","178",10,"FR",-17.48729,-149.81839,"TCA",44341,0.677083333,0,1.3,0,0,0,0,1.2,0.2,0.5,0.6,0.1,0.8,0.3,0.3,1.3,0.3,0,2.8,2338,26.35,3.32,0.77,34.14
"39","179",10,"LAG",-17.4812,-149.8176,"TCA",44341,0.618055556,0,1.8,0,0,0,0,1.7,0,0.2,1.6,0.2,0,1.5,0.2,0.2,0.2,0,3.6,2460,27.69,3.52,0.73,38.03
"40","180",10,"BA",-17.47708,-149.82124,"KES",44342,0.397222222,0,1.1,0,0,0,0,1.4,0,0.2,0.9,0,0,1.4,0,0.2,0,0,2.9,2798,28.23,3.63,0.7,40.35
"41","181",10,"BA",-17.47478,-149.81489,"TCA",44341,0.569444444,0,0.4,0,0,0,0,0.5,0,0,0.4,0,0,0.5,0,0,0,0.2,1.7,2890,25.94,3.4,0.65,39.87
"42","182",10,"BA",-17.47831,-149.81354,"TCA",44341,0.552083333,0,0.5,0,0,0,0,1.3,0,0,0.5,0,0.3,1,0,0.3,0,0,2.2,2534,27.45,3.71,0.54,51.09
"43","183",10,"LAG",-17.48035,-149.81365,"TCA",44341,0.520833333,0,1.9,0,0,0,0,1,0,0.4,1.5,0.1,0.2,0.7,0.1,0.6,0.1,0.1,3.6,2375,28.07,3.7,0.59,47.6
"44","184",10,"BA",-17.47487,-149.8077,"TCA",44341,0.590277778,0,2.9,0,0,0,0,1.1,1.7,0.2,1,0,0.8,0.3,1.7,1,1.7,0,4,2885,29.23,3.97,0.63,46.46
"45","185",10,"LAG",-17.47691,-149.80663,"TCA",44341,0.5,0,3.1,0,0,0,0,0.7,3.1,0,0,0.6,0,0.1,3.7,0,3.7,0.1,4.2,2518,29.05,3.89,0.67,43.39
"46","186",10,"LAG",-17.47712,-149.8025,"TCA",44341,0.455555556,0,2.5,0.5,0,0,0,0.6,0.7,0.8,1,0.1,0.1,0.4,0.8,0.9,0.8,0,3.8,2873,27.58,3.61,0.67,41.01
"47","187",9,"FR",-17.47899,-149.80634,"TCA",44341,0.486111111,0,2.222222222,0,0,0,0,0.666666667,0,0.222222222,2,0,0,0.666666667,0,0.222222222,0,0.111111111,3.555555556,2143,30.86,4.1,0.62,49.51
"48","201",8,"LAG",-17.58183,-149.78965,"TCA",44338,0.645833333,0,2.25,0,0,0,0,0.375,1,0.875,0.375,0,0,0.375,1,0.875,1,0.125,3,2083,28.83,3.82,0.66,43.69
"49","204",6,"FR",-17.50963,-149.76818,"TCA",44337,0.5125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,1,2361,29.74,3.9,0.66,45.12
"50","205",10,"FR",-17.55094,-149.78795,"TCA",44338,0.68125,0,0.7,0,0,0,0,0.5,0.4,0.3,0,0.3,0.2,0,0.7,0.5,0.7,0,1.9,2410,28.11,3.65,0.85,33.07
"51","206",8,"FR",-17.56594,-149.79259,"TCA",44338,0.46875,0,0.375,0.5,0,0,0,0.75,0.125,0.125,0.125,0.125,0.125,0.5,0.25,0.25,0.25,0,2.125,2557,26.93,3.45,0.69,39.05
"52","207",10,"FR",-17.57248,-149.79544,"TCA",44338,0.55625,0,0.8,0.1,0,0,0.1,0.3,0.3,0.5,0,0.2,0,0.1,0.5,0.5,0.5,0,1.9,2671,26.4,3.3,0.85,31
"53","34",10,"LAG",-17.58031,-149.79438,"TCA",44338,0.625,0,1.4,0,0,0,0,1.1,0,0.1,1.3,0,0.4,0.7,0,0.5,0,0.1,3.1,2923,27.49,3.68,0.66,41.74
"54","35",10,"FR",-17.58383,-149.79855,"TCA",44338,0.663888889,0,1.9,0,0,0,0.3,2.5,0.2,1.5,0.2,0.8,1.4,0.3,1,2.9,1,0,5,2513,26.39,3.49,0.75,35.41
"55","36",5,"FR",-17.57891,-149.7967,"TCA",44338,0.613888889,0,0.4,0,0.2,0,0,0,0,0,0.4,0,0,0,0,0,0,0,1.4,2528,26.87,3.48,0.81,33.25
"56","37",10,"FR",-17.57349,-149.79429,"TCA",44338,0.571527778,0,0.8,0,0,0,0,0.5,0.1,0.5,0.2,0,0.5,0,0.1,1,0.1,0,2.1,2117,26.11,3.41,0.8,32.72
"57","38",5,"FR",-17.56787,-149.7925,"TCA",44338,0.479166667,0,0.6,0,0,0,0,0.4,0,0.6,0,0.4,0,0,0.4,0.6,0.4,0,2,2829,27.01,3.53,0.72,37.65
"58","39",10,"BA",-17.57239,-149.78833,"TCA",44338,0.538194444,0,0.6,0,0,0,0,0.2,0,0,0.6,0,0,0.2,0,0,0,0,1.3,2851,27.17,3.62,0.56,48.08
"59","40",10,"BA",-17.57567,-149.78853,"TCA",44338,0.59375,0,1,0,0.2,0,0.1,2.1,0,0,1,0,1.4,0.7,0,1.4,0,0,4,2066,28.06,3.69,0.69,40.61
"60","41",10,"BA",-17.57019,-149.78739,"TCA",44338,0.515277778,0,1.6,0,0,0,0,1,0,0,1.6,0,0,1,0,0,0,0.1,3.5,2463,29.01,3.94,0.6,48.28
"61","42",10,"LAG",-17.56927,-149.78966,"TCA",44338,0.493055556,0,0.3,0,0,0,0,2.4,0,0,0.3,0.3,0.8,1.3,0.3,0.8,0.3,0,3,2426,28.66,3.78,0.71,40.23
"62","43",10,"BA",-17.56248,-149.78303,"TCA",44338,0.450694444,0,1.8,0,0,0,0,1.4,0,0.1,1.7,0,0.1,1.3,0,0.2,0,0.2,3.7,2848,28.04,3.7,0.59,47.28
"63","44",10,"LAG",-17.5615,-149.78549,"TCA",44338,0.430555556,0,1.2,0.3,0,0,0,0.6,0,0.4,0.8,0.1,0,0.5,0.1,0.4,0.1,0.1,2.5,2070,28.74,3.86,0.58,49.93
"64","45",5,"FR",-17.56025,-149.7891,"TCA",44338,0.420138889,0,4.2,0,0,0,0,1.2,1,1.2,2,1,0.2,0,2,1.4,2,0,5.4,2420,27.23,3.53,0.56,48.25
"65","68",5,"FR",-17.52007,-149.77383,"TCA",44337,0.680555556,0,1,0,0,0,0,0.2,0.2,0.8,0,0,0.2,0,0.2,1,0.2,0,1.8,2407,27.23,3.6,0.58,46.9
"66","70",10,"FR",-17.5103,-149.76659,"TCA",44337,0.525694444,0,1.4,0.7,0,0,0.7,0,0.5,0.5,0.4,0,0,0,0.5,0.5,0.5,0,3.2,2971,27.8,3.73,0.65,42.92
"67","71",10,"BA",-17.51072,-149.76303,"TCA",44337,0.541666667,0,1.8,0.8,0,0,0,0.3,0.1,0.5,1.2,0,0.2,0.1,0.1,0.7,0.1,0.2,3.6,2777,28.19,3.9,0.59,47.49
"68","72",10,"BA",-17.52173,-149.76436,"TCA",44337,0.660416667,0,0.7,0,0,0,0,0.4,0,0.4,0.3,0.1,0.2,0.1,0.1,0.6,0.1,0,1.5,2877,28.12,3.81,0.69,40.9
"69","73",10,"BA",-17.51639,-149.76421,"TCA",44337,0.641666667,0,1.6,0.4,0,0,0.1,0.7,0,0,1.6,0,0.2,0.5,0,0.2,0,0.2,3.6,2227,28.46,3.87,0.53,54.02
"70","74",10,"BA",-17.50533,-149.76093,"TCA",44337,0.494444444,0,3.2,0.7,0,0,0,0.6,0,1.2,2,0,0.3,0.3,0,1.5,0,0.1,4.7,2906,28.61,3.86,0.7,40.95
"71","75",10,"FR",-17.50327,-149.76453,"TCA",44337,0.472916667,0,2.2,0.7,0,0,0.4,0.6,0.2,0.8,1.2,0,0.4,0.2,0.2,1.2,0.2,0.2,4.4,2630,27.62,3.7,0.71,39.08
"72","77",10,"FR",-17.50258,-149.75975,"TCA",44337,0.44375,0,2.7,0,0,0,0.5,0.5,0.4,0.6,1.7,0.1,0.4,0,0.5,1,0.5,0.2,4,3133,29.24,4.05,0.64,45.41
"73","78",10,"BA",-17.50025,-149.75765,"TCA",44337,0.422916667,0,0.8,0,0,0,0.5,0.8,0,0.4,0.4,0,0.3,0.5,0,0.7,0,0,2.5,2530,29.72,4.1,0.6,49.16
"74","LTER 3 Back Reef",10,"BA",-17.5138,-149.76415,"TCA",44337,0.586805556,0,1.3,0,0,0,0,1.8,0,0.1,1.2,0,0.1,1.7,0,0.2,0,0,3.5,2770,27.74,3.67,0.59,47.23
